,date,p_change,pred
588,2021-07-23,-0.47,2.0
589,2021-07-26,-2.36,2.0
590,2021-07-27,-0.24,2.0
591,2021-07-28,0.97,2.0
592,2021-07-29,-1.2,2.0
593,2021-07-30,0.0,2.0
594,2021-08-02,1.21,2.0
595,2021-08-03,1.44,2.0
596,2021-08-04,-0.71,2.0
597,2021-08-05,-0.24,2.0
598,2021-08-06,-0.72,2.0
599,2021-08-09,1.44,2.0
600,2021-08-10,-0.71,2.0
601,2021-08-11,1.19,2.0
602,2021-08-12,0.24,2.0
603,2021-08-13,-0.47,2.0
604,2021-08-16,-0.24,2.0
605,2021-08-17,-1.42,2.0
606,2021-08-18,0.72,2.0
607,2021-08-19,3.34,2.0
608,2021-08-20,-3.46,2.0
609,2021-08-23,-0.96,2.0
