date,open,high,close,low,volume,p_change
2019-11-29,5.7,5.73,5.71,5.68,429626.38,-0.35
2019-12-02,5.73,5.74,5.63,5.6,741521.62,-1.4
2019-12-03,5.61,5.62,5.62,5.56,472108.12,-0.18
2019-12-04,5.6,5.6,5.51,5.41,1278959.88,-1.96
2019-12-05,5.53,5.6,5.58,5.51,798780.44,1.27
2019-12-06,5.62,5.65,5.65,5.56,602794.31,1.25
2019-12-09,5.67,5.7,5.66,5.65,573781.62,0.18
2019-12-10,5.64,5.67,5.66,5.62,458178.88,0.0
2019-12-11,5.68,5.72,5.7,5.63,701532.75,0.71
2019-12-12,5.69,5.7,5.65,5.64,572646.62,-0.88
2019-12-13,5.69,5.75,5.74,5.67,916024.81,1.59
2019-12-16,5.75,5.83,5.82,5.74,960022.56,1.39
2019-12-17,5.83,5.93,5.88,5.79,1306499.12,1.03
2019-12-18,5.87,5.94,5.84,5.83,1068435.75,-0.68
2019-12-19,5.85,5.92,5.88,5.83,1069163.0,0.69
2019-12-20,5.89,5.95,5.88,5.84,1366781.88,0.0
2019-12-23,5.88,5.95,5.8,5.79,1184088.38,-1.36
2019-12-24,5.8,5.82,5.8,5.74,597526.69,0.0
2019-12-25,5.8,5.85,5.82,5.77,560458.94,0.34
2019-12-26,5.82,5.84,5.83,5.78,539669.88,0.17
2019-12-27,5.84,5.88,5.78,5.78,847848.19,-0.86
2019-12-30,5.78,5.9,5.89,5.77,1146754.75,1.9
2019-12-31,5.88,5.92,5.89,5.86,816332.5,0.0
2020-01-02,5.92,6.1,6.04,5.91,2022819.0,2.55
2020-01-03,6.06,6.14,6.04,6.02,1109014.38,0.0
2020-01-06,5.98,6.08,6.02,5.95,1291179.88,-0.33
2020-01-07,6.03,6.04,6.02,5.98,899123.06,0.0
2020-01-08,5.98,5.98,5.92,5.9,1375847.38,-1.66
2020-01-09,5.96,6.0,5.95,5.93,1003081.62,0.51
2020-01-10,5.95,5.99,5.91,5.9,1192721.75,-0.67
2020-01-13,5.89,5.92,5.91,5.81,1182664.0,0.0
2020-01-14,5.92,6.24,6.18,5.92,4439660.0,4.57
2020-01-15,6.17,6.22,6.12,6.1,1828174.75,-0.97
2020-01-16,6.15,6.17,6.02,6.0,1644930.25,-1.63
2020-01-17,6.0,6.04,5.97,5.96,962153.56,-0.83
2020-01-20,5.98,6.06,6.06,5.94,1288830.5,1.51
2020-01-21,6.0,6.0,5.92,5.9,1323763.75,-2.31
2020-01-22,5.9,5.91,5.88,5.78,1213884.25,-0.68
2020-01-23,5.8,5.84,5.65,5.58,2003354.75,-3.91
2020-02-03,5.09,5.21,5.09,5.09,2512115.0,-9.91
2020-02-04,5.0,5.18,5.18,5.0,2126802.5,1.77
2020-02-05,5.18,5.32,5.21,5.14,1867970.62,0.58
2020-02-06,5.25,5.39,5.38,5.2,1850102.75,3.26
2020-02-07,5.35,5.37,5.35,5.28,1269116.0,-0.56
2020-02-10,5.32,5.45,5.4,5.29,1506067.25,0.94
2020-02-11,5.45,5.47,5.38,5.35,1265126.38,-0.37
2020-02-12,5.36,5.41,5.41,5.34,1145836.0,0.56
